Date,Open,High,Low,Close,Adj Close,Volume,Entity
7/22/2020,1140,1150,1120,1125,1125,38753200,ADRO
7/23/2020,1130,1145,1120,1130,1130,64260600,ADRO
7/24/2020,1130,1135,1085,1090,1090,57475100,ADRO
7/27/2020,1090,1110,1080,1110,1110,26677900,ADRO
7/28/2020,1115,1125,1075,1090,1090,85970300,ADRO
7/29/2020,1085,1095,1070,1085,1085,32109100,ADRO
7/30/2020,1090,1100,1075,1085,1085,41227100,ADRO
8/3/2020,1090,1095,1010,1030,1030,59722100,ADRO
8/4/2020,1040,1060,1030,1035,1035,46118000,ADRO
8/5/2020,1045,1055,1030,1050,1050,32037900,ADRO
8/6/2020,1060,1120,1055,1115,1115,78094300,ADRO
8/7/2020,1115,1130,1085,1095,1095,42983500,ADRO
8/10/2020,1095,1140,1095,1140,1140,83699000,ADRO
8/11/2020,1145,1170,1125,1150,1150,77790400,ADRO
8/12/2020,1150,1150,1105,1120,1120,46530100,ADRO
8/13/2020,1120,1130,1105,1115,1115,40519400,ADRO
8/14/2020,1115,1125,1100,1115,1115,39456900,ADRO
8/18/2020,1115,1125,1110,1115,1115,40083600,ADRO
8/19/2020,1115,1135,1100,1115,1115,74016400,ADRO
8/24/2020,1115,1120,1090,1095,1095,51729800,ADRO
8/25/2020,1100,1110,1095,1100,1100,46196300,ADRO
8/26/2020,1110,1135,1095,1110,1110,74077900,ADRO
8/27/2020,1120,1130,1110,1125,1125,61274600,ADRO
8/28/2020,1130,1160,1130,1145,1145,108671900,ADRO
8/31/2020,1160,1165,1085,1085,1085,85351100,ADRO
9/1/2020,1090,1140,1080,1140,1140,86245000,ADRO
9/2/2020,1145,1215,1135,1215,1215,267164700,ADRO
9/3/2020,1210,1230,1175,1205,1205,139885600,ADRO
9/4/2020,1190,1205,1160,1205,1205,77208600,ADRO
9/7/2020,1205,1260,1180,1250,1250,109160300,ADRO
9/8/2020,1250,1280,1220,1240,1240,105277500,ADRO
9/9/2020,1220,1240,1180,1200,1200,85808300,ADRO
9/10/2020,1185,1190,1120,1120,1120,104709600,ADRO
9/11/2020,1080,1185,1080,1180,1180,86766800,ADRO
9/14/2020,1200,1220,1185,1200,1200,57485800,ADRO
9/15/2020,1215,1215,1175,1190,1190,44495200,ADRO
9/16/2020,1195,1205,1140,1145,1145,52672700,ADRO
9/17/2020,1165,1180,1125,1130,1130,53488300,ADRO
9/18/2020,1150,1155,1125,1145,1145,87127400,ADRO
9/21/2020,1155,1160,1140,1145,1145,38247000,ADRO
9/22/2020,1130,1180,1125,1160,1160,68846900,ADRO
9/23/2020,1175,1190,1150,1160,1160,64671800,ADRO
9/24/2020,1145,1160,1130,1130,1130,39759400,ADRO
9/25/2020,1140,1160,1130,1140,1140,53909400,ADRO
9/28/2020,1150,1155,1125,1130,1130,26949400,ADRO
9/29/2020,1140,1185,1140,1165,1165,89147900,ADRO
9/30/2020,1170,1175,1110,1135,1135,51823100,ADRO
10/1/2020,1150,1180,1135,1180,1180,31098400,ADRO
10/2/2020,1180,1185,1120,1140,1140,43192400,ADRO
10/5/2020,1150,1155,1120,1125,1125,44630600,ADRO
10/6/2020,1135,1145,1125,1125,1125,33352500,ADRO
10/7/2020,1125,1135,1115,1130,1130,45283200,ADRO
10/8/2020,1140,1155,1125,1130,1130,72357800,ADRO
10/9/2020,1120,1125,1110,1115,1115,73435200,ADRO
10/12/2020,1120,1130,1110,1110,1110,54683000,ADRO
10/13/2020,1110,1155,1090,1150,1150,121076600,ADRO
10/14/2020,1150,1200,1130,1185,1185,123826100,ADRO
10/15/2020,1185,1195,1155,1155,1155,72630600,ADRO
10/16/2020,1170,1230,1145,1220,1220,135715400,ADRO
10/19/2020,1240,1240,1210,1220,1220,73973200,ADRO
10/20/2020,1220,1225,1200,1210,1210,42037100,ADRO
10/21/2020,1220,1220,1190,1200,1200,45076700,ADRO
10/22/2020,1190,1190,1155,1160,1160,91568400,ADRO
10/23/2020,1175,1175,1140,1145,1145,52389600,ADRO
10/26/2020,1145,1155,1140,1145,1145,32605100,ADRO
10/27/2020,1145,1150,1125,1125,1125,41562300,ADRO
11/2/2020,1120,1150,1100,1130,1130,51499400,ADRO
11/3/2020,1140,1165,1140,1145,1145,70174800,ADRO
11/4/2020,1150,1160,1105,1110,1110,66743200,ADRO
11/5/2020,1140,1155,1125,1140,1140,44255800,ADRO
11/6/2020,1150,1155,1130,1140,1140,57817100,ADRO
11/9/2020,1150,1155,1120,1130,1130,79574200,ADRO
11/10/2020,1150,1155,1130,1140,1140,61432600,ADRO
11/11/2020,1150,1205,1145,1205,1205,218766200,ADRO
11/12/2020,1205,1205,1160,1175,1175,90738000,ADRO
11/13/2020,1170,1190,1155,1165,1165,64105000,ADRO
11/16/2020,1180,1205,1165,1195,1195,77947500,ADRO
11/17/2020,1205,1210,1180,1180,1180,99737900,ADRO
